tax_id,accepted_name,synonym,symbol,synonym_symbol,name
2795062,Leptocereus nudiflorus,Cereus nudiflorus,,,
2795062,Leptocereus nudiflorus,Dendrocereus nudiflorus,,,
2795063,Leptocereus undulosus,Cereus undulosus,,,
2795063,Leptocereus undulosus,Dendrocereus undulosus,,,
2795065,Selenicereus triangularis,Cactus triangularis,,,
2795065,Selenicereus triangularis,Cereus triangularis,,,
2795065,Selenicereus triangularis,Hylocereus triangularis,,,
1123916,Disocactus flagelliformis,Aporocactus flagelliformis,,,
1123916,Disocactus flagelliformis,Cactus flagelliformis,,,
1001068,Echinomastus intertextus,Echinocactus intertextus,,,
1001068,Echinomastus intertextus,Sclerocactus intertextus,,,
1001070,Miqueliopuntia miquelii,Opuntia miquelii,,,
1001074,Weberbauerocereus johnsonii,Haageocereus johnsonii,,,
992881,Gymnocalycium mostii subsp. valnicekianum,Gymnocalycium valnicekianum,,,
992888,Gymnocalycium calochlorum,Echinocactus calochlorus,,,
992891,Gymnocalycium marsoneri subsp. megatae,Gymnocalycium megatae,,,
1001084,Echinopsis spiniflora,Acanthocalycium spiniflorum,,,
1001084,Echinopsis spiniflora,Echinocactus spiniflorus,,,
1001086,Borzicactus icosagonus,Cactus icosagonus,,,
1001086,Borzicactus icosagonus,Cleistocactus icosagonus,,,
1001088,Cleistocactus tupizensis,Cereus tupizensis,,,
1001090,Copiapoa cinerascens,Echinocactus cinerascens,,,
1001092,Corryocactus aureus,Cactus aureus,,,
1001091,Copiapoa humilis,Echinocactus humilis,,,
1001094,Sclerocactus unguispinus,Echinocactus unguispinus,,,
1001094,Sclerocactus unguispinus,Echinomastus unguispinus,,,
2762378,Consolea macracantha,Opuntia macracantha,,,
2762379,Consolea millspaughii,Opuntia millspaughii,,,
2762380,Consolea microcarpa,Opuntia microcarpa,,,
1001103,Haageocereus decumbens,Cereus decumbens,,,
1001104,Haageocereus limensis,Cereus limensis,,,
1001107,Matucana madisoniorum,Anhaloniopsis madisoniorum,,,
1001107,Matucana madisoniorum,Borzicactus madisoniorum,,,
1001102,Frailea pumila,Echinocactus pumilus,,,
1001100,Eriosyce taltalensis,Neoporteria taltalensis,,,
1001110,Opuntia dejecta,Nopalea dejecta,,,
1001111,Opuntia gaumeri,Nopalea gaumeri,,,
1001112,Opuntia karwinskiana,Nopalea karwinskiana,,,
1001113,Opuntia lutea,Nopalea guatemalensis,,,
1001113,Opuntia lutea,Nopalea lutea,,,
1001114,Opuntia sp. THH-2011,Nopalea sp. THH-2011,,,
1001118,Tacinga palmadora,Opuntia palmadora,,,
1001123,Pterocereus gaumeri subsp. foetidus,Pterocereus foetidus,,,
1001127,Selenicereus donkelaarii,Cereus donkelaarii,,,
1001127,Selenicereus donkelaarii,Selenicereus grandiflorus subsp. donkelaarii,,,
3595,Schlumbergera truncata,Epiphyllum truncatum,,,
3595,Schlumbergera truncata,Zygocactus truncatus,,,
1001130,Weingartia candiae,Rebutia candiae,,,
1001130,Weingartia candiae,Sulcorebutia arenacea var. candiae,,,
1001130,Weingartia candiae,Sulcorebutia candiae,,,
1001131,Tephrocactus alexanderi,Opuntia alexanderi,,,
1001132,Echinopsis tacaquirensis subsp. taquimbalensis,Trichocereus taquimbalensis,,,
1001133,Airampoa corrugata,Opuntia corrugata,,,
1001133,Airampoa corrugata,Tunilla corrugata,,,
1197761,Harrisia divaricata,Cactus divaricatus,,,
1197762,Harrisia gracilis,Cereus gracilis,,,
1484561,Cereus repandus,Cactus repandus,,,
1484561,Cereus repandus,Subpilocereus repandus,,,
993093,Cylindropuntia bigelovii,Opuntia bigelovii,,,
993095,Maihueniopsis darwinii,Opuntia darwinii,,,
993096,Opuntia littoralis,Opuntia engelmannii var. littoralis,,,
223052,Cephalocereus,Pseudomitrocereus,,,
223053,Cephalocereus columna-trajani,Cereus columna-trajani,,,
223054,Cephalocereus senilis,Cactus senilis,,,
223057,Neobuxbaumia euphorbioides,Cereus euphorbioides,,,
223058,Cephalocereus mezcalaensis,Neobuxbaumia mezcalaensis,,,
223059,Cephalocereus mezcalaensis var. multiareolatus,Neobuxbaumia multiareolata,,,
223060,Cephalocereus polylophus,Cereus polylophus,,,
223060,Cephalocereus polylophus,Neobuxbaumia polylopha,,,
223061,Cephalocereus scoparius,Neobuxbaumia scoparia,,,
223061,Cephalocereus scoparius,Pilocereus scoparius,,,
223062,Cephalocereus fulviceps,Mitrocereus fulviceps,,,
223062,Cephalocereus fulviceps,Pachycereus fulviceps,,,
223062,Cephalocereus fulviceps,Pilocereus fulviceps,,,
223062,Cephalocereus fulviceps,Pseudomitrocereus fulviceps,,,
722776,Rhipsalidopsis x graeseri,Hatiora x graeseri Barthlott ex D.R.Hunt,,,
722776,Rhipsalidopsis x graeseri,Schlumbergera rosea x Schlumbergera gaertneri,,,
223065,Lemaireocereus lepidanthus,Cereus lepidanthus,,,
223065,Lemaireocereus lepidanthus,Pachycereus lepidanthus,,,
223064,Pterocereus gaumeri,Pachycereus gaumeri,,,
223069,Marshallocereus aragonii,Cereus aragonii,,,
223069,Marshallocereus aragonii,Stenocereus aragonii,,,
722781,Schlumbergera lutea,Hatiora epiphylloides,,,
722781,Schlumbergera lutea,Rhipsalis epiphylloides,,,
722783,Schlumbergera lutea subsp. lutea,Hatiora epiphylloides subsp. epiphylloides,,,
722782,Schlumbergera lutea subsp. bradei,Hariota epiphylloides var. bradei,,,
722782,Schlumbergera lutea subsp. bradei,Hatiora epiphylloides subsp. bradei,,,
722785,Hatiora salicornioides var. stricta,Hatiora salicornoides var. stricta,,,
722785,Hatiora salicornioides var. stricta,Rhipsalis salicornioides var. stricta,,,
722785,Hatiora salicornioides var. stricta,Rhipsalis salicornoides var. stricta,,,
722786,Lepismium houlletianum,Rhipsalis houlletiana,,,
722788,Lepismium houlletianum f. regnellii,Rhipsalis regnellii,,,
722789,Lymanbensonia incachacana,Acanthorhipsalis incachacana,,,
722789,Lymanbensonia incachacana,Lepismium incachacanum,,,
722789,Lymanbensonia incachacana,Rhipsalis incachacana,,,
722790,Lepismium lorentzianum,Rhipsalis lorentziana,,,
722791,Lepismium lumbricoides,Cereus lumbricoides,,,
722792,Lepismium lumbricoides f. aculeatum,Rhipsalis aculeata,,,
722796,Lymanbensonia micrantha,Cereus micranthus,,,
722796,Lymanbensonia micrantha,Lepismium micranthum,,,
722796,Lymanbensonia micrantha,Pfeiffera micrantha,,,
722797,Rhipsalidopsis rosea,Hatiora rosea,,,
722797,Rhipsalidopsis rosea,Rhipsalis rosea,,,
722797,Rhipsalidopsis rosea,Schlumbergera rosea,,,
722799,Rhipsalis baccifera,Cassytha baccifera,,,
722801,Rhipsalis baccifera subsp. erythrocarpa,Rhipsalis erythrocarpa,,,
722802,Rhipsalis baccifera subsp. hileiabaiana,Rhipsalis hileiabaiana,,,
722804,Rhipsalis baccifera subsp. shaferi,Rhipsalis shaferi,,,
722803,Rhipsalis baccifera subsp. horrida,Rhipsalis horrida,,,
722807,Rhipsalis cereoides,Lepismium cereoides,,,
722816,Rhipsalis crispata,Epiphyllum crispatum,,,
722817,Rhipsalis dissimilis,Lepismium dissimile,,,
722819,Rhipsalis dissimilis f. epiphyllanthoides,Lepismium epiphyllanthoides,,,
722815,Rhipsalis clavata f. delicatula,Rhipsalis clavata var. delicatula,,,
722824,Rhipsalis floccosa subsp. pulvinigera,Rhipsalis pulvinigera,,,
722825,Rhipsalis floccosa subsp. tucumanensis,Rhipsalis tucumanensis,,,
722822,Rhipsalis floccosa subsp. hohenauensis,Rhipsalis floccosa subsp. hohenhauensis,,,
722822,Rhipsalis floccosa subsp. hohenauensis,Rhipsalis hohenauensis,,,
1927054,Pilosocereus aurisetus subsp. aurilanatus,Pilosocereus aurilanatus,,,
1927056,Pilosocereus brasiliensis,Cephalocereus brasiliensis,,,
1927057,Pilosocereus catingicola,Cereus catingicola,,,
1927058,Pilosocereus catingicola subsp. salvadorensis,Pilocereus salvadorensis,,,
1927059,Pilosocereus chrysostele,Cereus chrysostele,,,
1927061,Pilosocereus collinsii,Cephalocereus collinsii,,,
1927063,Pilosocereus flavipulvinatus,Pseudopilocereus flavipulvinatus,,,
722831,Rhipsalis micrantha,Cactus micranthus,,,
1927065,Pilosocereus fulvilanatus,Pseudopilocereus fulvilanatus,,,
722842,Rhipsalis pacheco-leonis subsp. catenulata,Rhipsalis paradoxa var. catenulata,,,
1927068,Pilosocereus magnificus,Pseudopilocereus magnificus,,,
1927070,Pilosocereus pachycladus subsp. pernambucoensis,Pilosocereus pernambucoensis,,,
722851,Rhipsalis teres f. capilliformis,Rhipsalis capilliformis,,,
722853,Rhipsalis teres f. heteroclada,Rhipsalis heteroclada,,,
1927078,Stephanocereus leucostele,Cereus leucostele,,,
722854,Rhipsalis teres f. prismatica,Hariota prismatica,,,
722856,Schlumbergera russelliana,Schlumbergera russelianum,,,
