genus,species,scientificName,acceptedNameUsage
Ariocarpus,Ariocarpus fissuratus,Ariocarpus fissuratus (Engelm.) K.Schum.,Ariocarpus fissuratus
Mammillaria,Mammillaria eriacantha,Mammillaria eriacantha Hort.Berol. ex Pfeiff.,Mammillaria eriacantha
Cochemiea,Cochemiea poselgeri,Mammillaria poselgeri Hildm.,Mammillaria poselgeri
Echinocereus,Echinocereus poselgeri,Echinocereus poselgeri Lem.,Echinocereus poselgeri
Ariocarpus,Ariocarpus scaphirostris,Ariocarpus scaphirostris Boed.,Ariocarpus scaphirostris
Mammillaria,Mammillaria longimamma,Mammillaria longimamma DC.,Mammillaria longimamma
Cochemiea,Cochemiea macdougallii,Ortegocactus macdougallii Alexander,Cochemiea macdougallii
Ferocactus,Ferocactus pilosus,Ferocactus pilosus (Salm-Dyck) Werderm.,Ferocactus pilosus
Grusonia,Grusonia kunzei,Grusonia kunzei (Rose) Pinkava,Grusonia kunzei
Mammillaria,Mammillaria supertexta,Mammillaria supertexta Mart.,Mammillaria supertexta
Myrtillocactus,Myrtillocactus chende,Polaskia chende (Rol.-Goss.) A.C.Gibson & K.E.Horak,Polaskia chende
Mammillaria,Mammillaria dixanthocentron,Mammillaria dixanthocentron Backeb.,Mammillaria dixanthocentron
Mammillaria,Mammillaria surculosa,Mammillaria surculosa Boed.,Mammillaria surculosa
Cephalocereus,Cephalocereus columna-trajani,Cephalocereus columna-trajani (Karw. ex Pfeiff.) K.Schum.,Cephalocereus columna-trajani
Mammillaria,Mammillaria kraehenbuehlii,Mammillaria kraehenbuehlii (Krainz) Krainz,Mammillaria kraehenbuehlii
Ferocactus,Ferocactus latispinus,Ferocactus recurvus (Mill.) Borg,Ferocactus recurvus
Cylindropuntia,Cylindropuntia prolifera,Opuntia prolifera Engelm.,Cylindropuntia prolifera
Cylindropuntia,Cylindropuntia lindsayi,Opuntia lindsayi Rebman,Cylindropuntia lindsayi
Grusonia,Grusonia aggeria,Grusonia aggeria (Ralston & Hilsenb.) E.F.Anderson,Grusonia aggeria
Epiphyllum,Epiphyllum oxypetalum,Epiphyllum oxypetalum (DC.) Haw.,Epiphyllum oxypetalum
Echinocereus,Echinocereus knippelianus,Echinocereus knippelianus Liebner,Echinocereus knippelianus
Pelecyphora,Pelecyphora tuberculosa,Escobaria tuberculosa (Engelm.) Britton & Rose,Escobaria tuberculosa
Mammillaria,Mammillaria polyedra,Mammillaria polyedra Mart.,Mammillaria polyedra
Stenocereus,Stenocereus eruca,Stenocereus eruca (Brandegee) A.C.Gibson & K.E.Horak,Stenocereus eruca
Cylindropuntia,Cylindropuntia fulgida,Cylindropuntia fulgida (Engelm.) F.M.Knuth,Cylindropuntia fulgida
Echinocereus,Echinocereus stramineus,Echinocereus stramineus Engelm. ex Rümpler,Echinocereus stramineus
Epithelantha,Epithelantha micromeris,Epithelantha micromeris (Engelm.) F.A.C.Weber,Epithelantha micromeris
Parrycactus,Parrycactus reppenhagenii,Ferocactus reppenhagenii G.Unger,Ferocactus alamosanus subsp. reppenhagenii
Pereskiopsis,Pereskiopsis kellermanii,Pereskiopsis kellermanii Rose,Pereskiopsis kellermanii
Cochemiea,Cochemiea barbata,Mammillaria barbata Engelm.,Mammillaria barbata
Kadenicarpus,Kadenicarpus horripilus,Turbinicarpus horripilus (Lem.) V.John & Ríha,Kadenicarpus horripilus
Mammillaria,Mammillaria melanocentra,Mammillaria melanocentra Poselg.,Mammillaria melanocentra
Bisnaga,Bisnaga haematacantha,Ferocactus haematacanthus (Monv. ex Salm-Dyck) Bravo ex Backeb. & F.M.Knuth,Ferocactus haematacanthus
Ferocactus,Ferocactus robustus,Ferocactus robustus (Karw. ex Pfeiff.) Britton & Rose,Ferocactus robustus
Ariocarpus,Ariocarpus trigonus,Ariocarpus trigonus (F.A.C.Weber) K.Schum.,Ariocarpus trigonus
Coryphantha,Coryphantha glanduligera,Coryphantha glanduligera (Otto & A.Dietr.) Lem.,Coryphantha glanduligera
Stenocereus,Stenocereus zopilotensis,Stenocereus zopilotensis Arreola-Nava & Terrazas,Stenocereus zopilotensis
Coryphantha,Coryphantha difficilis,Coryphantha difficilis (Quehl) Orcutt,Coryphantha difficilis
Cochemiea,Cochemiea schumannii,Mammillaria schumannii Hildm.,Mammillaria schumannii
Cylindropuntia,Cylindropuntia anteojoensis,Cylindropuntia anteojoensis (Pinkava) E.F.Anderson,Cylindropuntia anteojoensis
Opuntia,Opuntia rufida,Opuntia rufida Engelm.,Opuntia rufida
Cylindropuntia,Cylindropuntia fosbergii,Opuntia fosbergii C.B.Wolf,Cylindropuntia bigelovii subsp. bigelovii
Stenocereus,Stenocereus kerberi,Stenocereus kerberi (K.Schum.) A.C.Gibson & K.E.Horak,Stenocereus kerberi
Cylindropuntia,Cylindropuntia ramosissima,Opuntia ramosissima Engelm.,Cylindropuntia ramosissima
Echinocactus,Echinocactus horizonthalonius,Echinocactus horizonthalonius Lem.,Echinocactus horizonthalonius
Mammillaria,Mammillaria elongata,Mammillaria elongata DC.,Mammillaria elongata
Stenocactus,Stenocactus obvallatus,Stenocactus obvallatus (DC.) Hill,Stenocactus obvallatus
Pereskia,Pereskia aculeata,Pereskia aculeata Mill.,Pereskia aculeata
Weberocereus,Weberocereus tunilla,Weberocereus biolleyi (F.A.C.Weber) Britton & Rose,Weberocereus tunilla subsp. biolleyi
Echinocereus,Echinocereus pulchellus,Echinocereus pulchellus (Mart.) K.Schum.,Echinocereus pulchellus
Cylindropuntia,Cylindropuntia tesajo,Opuntia tesajo Engelm. ex J.M.Coult.,Cylindropuntia tesajo
Mammillaria,Mammillaria crinita,Mammillaria crinita DC.,Mammillaria crinita
Coryphantha,Coryphantha poselgeriana,Coryphantha poselgeriana (A.Dietr.) Britton & Rose,Coryphantha poselgeriana
